type	name	time	size	kind
Seq Native	Cython	3.9478356930012524	170000000	Seq Native Cython
MP	Cython	12.09968803800075	170000000	MP Cython
MP Native	Cython	0.5445106080005644	170000000	MP Native Cython
Seq	Python		180000000	Seq Python
MP	Python	16.322270934997505	180000000	MP Python
Seq	Numba	1.9215455820012721	180000000	Seq Numba
Seq Fastmath	Numba	1.756652394997218	180000000	Seq Fastmath Numba
Parallel	Numba	0.3127663539999048	180000000	Parallel Numba
Parallel Fastmath	Numba	0.27147486999820103	180000000	Parallel Fastmath Numba
MP	Numba	1.8559965400017973	180000000	MP Numba
MP Fastmath	Numba	1.753056365003431	180000000	MP Fastmath Numba
Seq	Cython		180000000	Seq Cython
Seq Native	Cython	4.176417392998701	180000000	Seq Native Cython
MP	Cython	12.798359503998654	180000000	MP Cython
MP Native	Cython	0.6727231269978802	180000000	MP Native Cython
Seq	Python		190000000	Seq Python
MP	Python	17.434186656002566	190000000	MP Python
Seq	Numba	1.9860905519999505	190000000	Seq Numba
Seq Fastmath	Numba	1.8485853599995608	190000000	Seq Fastmath Numba
Parallel	Numba	0.3450095340012922	190000000	Parallel Numba
Parallel Fastmath	Numba	0.3022562799997104	190000000	Parallel Fastmath Numba
MP	Numba	1.9919749000000593	190000000	MP Numba
MP Fastmath	Numba	1.87291232500138	190000000	MP Fastmath Numba
Seq	Cython		190000000	Seq Cython
Seq Native	Cython	4.396644517000823	190000000	Seq Native Cython
MP	Cython	13.371671250002692	190000000	MP Cython
MP Native	Cython	0.6280623050006398	190000000	MP Native Cython
Seq	Python		200000000	Seq Python
MP	Python	17.3686625679984	200000000	MP Python
Seq	Numba	2.0635744989995146	200000000	Seq Numba
Seq Fastmath	Numba	1.9105869519989938	200000000	Seq Fastmath Numba
Parallel	Numba	0.34242461600297247	200000000	Parallel Numba
Parallel Fastmath	Numba	0.31386377200033166	200000000	Parallel Fastmath Numba
MP	Numba	2.1965934340005333	200000000	MP Numba
MP Fastmath	Numba	2.0712092139983724	200000000	MP Fastmath Numba
Seq	Cython		200000000	Seq Cython
Seq Native	Cython	4.596923403998517	200000000	Seq Native Cython
MP	Cython	14.486586587001511	200000000	MP Cython
MP Native	Cython	0.7988991000020178	200000000	MP Native Cython
Seq	Python		210000000	Seq Python
MP	Python		210000000	MP Python
Seq	Numba	2.1806378599976597	210000000	Seq Numba
Seq Fastmath	Numba	1.9972875730018131	210000000	Seq Fastmath Numba
